"Transactional key","Llave transaccional",
"Site Identifier","Identificador del sitio",
"URL refers to the endpoint to use","URL hace referencia al endpoint a usar",
"Enviroments","Entornos",
"Environment","Entorno",
"Development","Desarrollo",
"Production","Producción",
"URL for payment notifications: %1","URL para notificaciones de pagos %1",
"Notify URL","URL de notificación",
"We regret that you have decided to cancel the payment","Lamentamos que haya decidido cancelar el pago",
"An error has occurred while checking the payment status","Ha surgido un error al comprobar el estado del pago",
"An error has occurred during payment processing","Se ha producido un error durante el procesamiento del pago",
"Payment has been successfully received","El pago ha sido recibido exitosamente",
"invalid notification","notificacion no válida",
"Payment approved","Pago aprobado",
"Payment declined","Pago rechazado",
"Invoice created","Factura creada",
"Invoice #%1","Factura #%1",
"State of the Order","Estado de la Orden",
"Order status when the payment is approved","Estado del pedido cuando el pago es aprobado",
"Order status when the payment is rejected","Estado del pedido cuando el pago es rechazado",
"Just Pay: payment finalized","Just Pay: pago finalizado",
"Just Pay: requires the fields are not empty","Just Pay: requiere que los campos no estén vacíos",
"Set to production if you are going to production Mode","Establecer en producción si va al modo de producción",
"Public key, unique value that identifies the commerce","Public key, valor único que identifica el comercio",
"Secure key, unique value that identifies the commerce","Secure key, valor único que identifica el comercio",
"Specify endpoint URL","Especificar endpoint URL",
"Click <a href="%1" target="_top">here</a> to continue shopping","Clic <a href="%1" target="_top">aquí</a> para seguir comprando",
"The time allowed in minutes to generate transactions","El tiempo permitido en minutos para generar transacciones",
"Expiration time","Tiempo de expiración"
